supplier_id,supplier_name,contact_person,email,phone,city,state,gst_number,created_at
S00001,PrimeTech Trading Co.,Ikshita Walia,primetechtradingco@gmail.com,6201329281,Indore,Madhya Pradesh,11LEOLG2731W1Z8,2026-08-12
S00002,Apex Traders,Edhitha Kale,apextraders@gmail.com,6644172936,Hyderabad,Telangana,18VLFCO8429I1Z3,2026-08-12
S00003,NextGen Traders,Ekansh Brahmbhatt,nextgentraders@gmail.com,3709462957,Lucknow,Uttar Pradesh,29AECUG7489Q1Z5,2026-08-12
S00004,NextGen Distributors,Chaman Dewan,nextgendistributors@gmail.com,04368299456,Delhi,Delhi,35HVYOT6557B1Z8,2026-08-12
S00005,NextGen Trading Co.,Henry Panchal,nextgentradingco@gmail.com,+911508106898,Pune,Maharashtra,17YQTPD8645E1Z0,2026-08-12
S00006,Apex Traders,Indira Prasad,apextraders@gmail.com,+913015862950,Delhi,Delhi,33YSLBR4987E1Z4,2026-08-12
S00007,Elite Retail Solutions,Finn Pathak,eliteretailsolutions@gmail.com,6132010054,Indore,Madhya Pradesh,25MTIZJ1991Z1Z3,2026-08-12
S00008,NovaMart Distributors,Yashasvi Bahl,novamartdistributors@gmail.com,+915909131750,Indore,Madhya Pradesh,28YBJWE4482Q1Z8,2026-08-12
S00009,UrbanEdge Traders,Farhan Patla,urbanedgetraders@gmail.com,7133367753,Pune,Maharashtra,28LSOZA3150Y1Z9,2026-08-12
S00010,UrbanEdge Distributors,Sudiksha More,urbanedgedistributors@gmail.com,08486902399,Hyderabad,Telangana,24UWCLA9037H1Z6,2026-08-12
S00011,Vertex Traders,Wriddhish Varghese,vertextraders@gmail.com,+917589447022,Pune,Maharashtra,21XKIDY2999N1Z0,2026-08-12
S00012,Apex Trading Co.,Harrison Goyal,apextradingco@gmail.com,07999976190,Delhi,Delhi,24ABBRO2479Q1Z7,2026-08-12
S00013,PrimeTech Retail Solutions,Yochana Chowdhury,primetechretailsolutions@gmail.com,07949952181,Bhopal,Madhya Pradesh,32UOOFB8314K1Z5,2026-08-12
S00014,Vertex Wholesale,Harrison Chawla,vertexwholesale@gmail.com,+913709387448,Jaipur,Rajasthan,10XITOX2793F1Z5,2026-08-12
